Entiteit,Gemeente,Deelgemeente,Titel,Station?,Ligging,XY Halte Hastus,GPS (locatie),Fietsbeugels (aantal),Overdekte fietsenstalling
Oost-Vlaanderen,MALDEGEM,KLEIT,202225 Maldegem Halledreef,,Halledreef,"51.181515,3.450335","4;51.1816355,3.4501876",Meer dan 5,Ja
Oost-Vlaanderen,MALDEGEM,MALDEGEM,202059 Maldegem Markt perron 1,,Marktstraat,"51.208765,3.445931","5;51.2085069,3.4458851",Meer dan 5,Ja
Antwerpen,MALLE,OOSTMALLE,106184 Oostmalle Busstation perron 4,,Antwerpsesteenweg,"51.301015,4.729849","4;51.3010085,4.7300091",Meer dan 5,Ja
Antwerpen,MALLE,OOSTMALLE,106187 Oostmalle Busstation perron 2,,Antwerpsesteenweg,"51.301173,4.729125","4;51.3011816,4.7291088",Meer dan 5,Ja
Antwerpen,MALLE,OOSTMALLE,109560 Oostmalle Busstation perron 1,,Antwerpsesteenweg,"51.301417,4.728665","10;51.3015091,4.7285757",Meer dan 5,Ja
Antwerpen,MALLE,OOSTMALLE,109860 Oostmalle Busstation perron 3,,Antwerpsesteenweg,"51.301309,4.729202","10;51.3012682,4.7292453",Meer dan 5,Ja
Antwerpen,MALLE,WESTMALLE,106112 Westmalle Olmenlei,,Antwerpsesteenweg,"51.274953,4.651283","6;51.2750016,4.6512473",Meer dan 5,Ja
Antwerpen,MALLE,WESTMALLE,106125 Westmalle Schaggeleweg,,Antwerpsesteenweg,"51.297245,4.689658","10;51.2972157,4.6894634",Meer dan 5,Ja
Antwerpen,MALLE,WESTMALLE,106126 Westmalle Schaggeleweg,,Antwerpsesteenweg,"51.297098,4.689666","10;51.297007,4.6893311",Meer dan 5,Ja
Antwerpen,MECHELEN,MECHELEN,102978 Mechelen Rode Kruisplein,,Guido gezellelaan,"51.033073,4.472454","4;51.0330058,4.4724939",Meer dan 5,Ja
Antwerpen,MECHELEN,MECHELEN,105189 Mechelen Veemarkt,,Biest,"51.029188,4.484519","5;51.029045,4.484575",Meer dan 5,Ja
Antwerpen,MECHELEN,MECHELEN,109492 Mechelen Technopolis,,Technologielaan,"51.002443,4.470116","4;51.0023693,4.4704116",Meer dan 5,Ja
Antwerpen,MECHELEN,MECHELEN,109800 Mechelen Technopolis,,UNKNOWN,"51.002361,4.470809","4;51.0023135,4.4706596",Meer dan 5,Ja
Limburg,MEEUWEN-GRUITRODE,WIJSHAGEN,406986 Wijshagen Kerkstraat,,Wijshagerkiezel,"51.105001,5.561781","4;51.1050324,5.5617343",Meer dan 5,Ja
Vlaams-Brabant,MEISE,MEISE,303700 Meise Boechtstraat,,N277,"50.935598,4.329735","9;50.9357195,4.3295103",Meer dan 5,Ja
Vlaams-Brabant,MEISE,MEISE,303748 Meise Van Dievoetlaan,,Nieuwelaan,"50.94092,4.324307","4;50.9409313,4.324446",Meer dan 5,Ja
Vlaams-Brabant,MEISE,MEISE,303749 Meise Van Dievoetlaan,,Nieuwelaan,"50.94047,4.324813","4;50.9403613,4.3251815",Meer dan 5,Ja
Vlaams-Brabant,MEISE,WOLVERTEM,303779 Wolvertem Meusegem,,Veilinglaan,"50.963739,4.29334","4;50.9638421,4.2932865",Meer dan 5,Ja
