tblalgemenegegevens.Naam,ID fietsenstalling,MCS_Code,MCS_Code fiets,MCS_Code fiets opmerking,tblintermodaliteitfietsenstalling.Naam,Positie,Betalend?,Toegangscontrole?,Afgesloten fietsenstalling,Type van afsluiting,Eigenaar terrein,Eigenaar derde,Kleine wegenis,Exploitant,Exploitant derde,Infrastructuur Type,spec andere type,Infrastructuur Type overkapping,spec andere overkapping,Infrastructuur opp overkapping,Infrastructuur Type verharding,spec andere verharding,Infrastructuur Opp verharding,Infrastructuur Type fietsrek,spec andere fietsrek,Bevestigingsbaar voor motos,Aantal plaatsen aan bevestigingsbaar voor motos,Infrastructuur Toestand,Plaatsen fietsen overdekt,Plaatsen fietsen openlucht,Plaatsen bakfiets overdekt,Plaatsen bakfiets openlucht,Plaatsen bromfiets overdekt,Plaatsen bromfiets openlucht,Plaatsen elektrische fiets overdekt,Plaatsen elektrische fiets openlucht,Plaatsen elektrische moto overdekt,Plaatsen elektrische moto openlucht,Plaatsen totaal,Plaatsen totaal fiets,Plaatsen totaal moto,Camerabewaking,voldoende verlichting,beheerder verlichting,weesfietsen,opmerking,schatting aantal,Mogelijkheid tot uitbreiding van de parking,Op terrein NMBS,Op terrein derden,Is er nood tot uitbreiding fietstenstallingen,Bekleding_vloer,Beperkte toegankelijkheid,Type van beperking,Aantal Ingangen,Aantal Uitgangen,Energiemeters aanwezig?,Milieu gevaarlijke installaties aanwezig?,Branddetectie aanwezig?,Lokaal van het waarschuwingsbord,Andere technische installaties,Aankondigingspaal parking aanwezig,Aankondigingspaal parking voorzien van verlichting,Aankondigingspaal parking voorzien aankonding vrij/volzet,Parkeerreglement aanwezig,Bord met tarificatie aanwezig,Signaletica op straat,Signaletica op de parking,Signaletica naar stationsgebouw of perron,Toestand uitrustingen,Type gevel,Oppervlakte beglazing,Type verlichting
Oud-heverlee ,975,21390007001,,,Fietsenstalling f2,"F2 - perron 2, naast parking A1",0,0,,,NMBS,,,NMBS,,Open lucht,,,,,,,,Wielklemmen laag,,0,,Te controleren,0,29,0,0,0,0,0,0,0,0,29,29,0,,1,NMBS - Verlichting via het perron,,Bezetting > 100 %,,Ja en eenvoudig,,,,,,,,,,,,,,,,,,,,,,,,,
Oud-heverlee ,976,21390007001,,,Fietsenstalling f3,F3 - ten zuiden van OW,0,,,,NMBS,,,NMBS,,Open lucht,,,,,,,,Type NMBS,,0,,,0,24,0,0,0,0,0,0,0,0,24,24,0,,0,,,Bezetting < 90 %,,Ja en gemiddeld,,,,,,,,,,,,,,,,,,,,,,,,,
Overpelt ,977,20190022102,20190022101,,Fietsenstalling f2,F2 -Heggestraat,0,0,,,NMBS,,,NMBS,,Open lucht,,,,,Andere,Dallen,,Type NMBS,,0,,Te controleren,36,36,0,0,0,0,0,0,0,0,72,72,0,,0,,,Bezetting > 90 % en < 100 %,,Ja en eenvoudig,,,,,,,,,,,,,,,,,,,,,,,,,
Schelle ,978,20520039005,,,Fietsenstalling f2,F2 - perron richting Boom,0,0,0,,NMBS,,Nee,NMBS,,Overdekt,,Eigen overkapping,,,,,,Type NMBS,,0,0,Goede staat,16,0,0,0,0,0,0,0,0,0,16,16,0,,1,NMBS,,Bezetting > 100 %,,Moeilijk,,,,,,,1,1,,,,,,1,1,,0,,0,,,,,,
Schulen ,979,20350064010,,,Fietsenstalling f2,F2 -  Stokerijstraat,0,0,,,NMBS,,,NMBS,,Overdekt,,Eigen overkapping,,35,Klinkers,,,Type NMBS,,0,,Goede staat,24,0,0,0,0,0,0,0,0,0,24,24,0,,1,NMBS,,Bezetting > 100 %,,Ja en eenvoudig,,,,,,,,,,,,,,,,,,,,,,,,,
Sint-katelijne-waver ,980,20250026410,,,Fietsenstalling f2,"F2 - rechts van stationsgebouw, naast parking A1",0,0,0,,NMBS,,,NMBS,,Open lucht,,,,,,,,Wielklemmen laag,,0,0,Goede staat,0,27,0,0,0,0,0,0,0,0,27,27,0,,1,Stadsnet,,Bezetting < 90 %,,Moeilijk,,,,,,,,,,,,,,1,0,,0,,1,,,,,,
Sint-katelijne-waver ,981,20250026410,,,Fietsenstalling f3,F3 - Clemenceaustraat,0,0,0,,NMBS,,,NMBS,,Overdekt,,Eigen overkapping,,,,,,Type NMBS,,0,0,Goede staat,48,0,0,0,0,0,0,0,0,0,48,48,0,,1,NMBS,,Bezetting < 90 %,,Moeilijk,,,,,,,,,,,,,,1,0,,0,,1,,,,,,
Sint-truiden ,982,20210011018,,,Fietsenstalling f3,"F3 - overzijde sporen, bij parking A2",0,0,,,NMBS,,,Stad,,Open lucht,,,,,,,,Type NMBS,,0,,Goede staat,0,30,0,0,0,0,0,0,0,0,30,30,0,,1,Stadsnet,,Bezetting < 90 %,,Ja en eenvoudig,,,,,,,,,,,,,,,,,,,,,,,,,
Sint-truiden ,983,20210011018,,,Fietsenstalling f2,"F2 - Stationsplein, voor stationsgebouw",0,0,,,NMBS,,,NMBS,,Overdekt,,Eigen overkapping,,,,,,Type NMBS,,0,,Goede staat,80,0,0,0,0,0,0,0,0,0,80,80,0,,1,NMBS,,Bezetting < 90 %,,Moeilijk,,,,,,,,,,,,,,,,,,,,,,,,,
Sint-truiden ,984,20210011018,,,Fietsenstalling f4,"F4 - links van stationsgebouw, fietskluizen",1,0,,,NMBS,,,NMBS,,Overdekt,,Andere,,,,,,,,0,,Goede staat,8,0,0,0,4,0,0,0,0,0,12,8,4,,1,Stadsnet,,Bezetting < 90 %,,Ja en eenvoudig,,,,,,,,,,,,,,,,,,,,,,,,,
