id,address_id,parking_type_name,latitude,longitude,box_number,status,created_at,updated_at,is_all_access,wow_id,name,legacy_address,installation_date,capacity_classic,capacity_cargo,limit_sub_number,code,active,mobib,is_group
185,,Box,50.87679,4.3471,,,2019-02-05T11:01:54Z,,false,,Bockstael I,"Place Bockstael (gauche ext)/Rue Tielemans, 1020 Laeken",1970-01-01T00:00:00Z,5,0,,LA30,true,false,false
186,,Box,50.8905,4.3412,,,2019-02-05T11:01:54Z,,false,,Reper-Vreven,"Felix Sterkxstraat < Reper Vrevenstraat, 1020 Laeken",1970-01-01T00:00:00Z,5,0,,LA22,true,false,false
187,,Box,50.89735,4.33509,,,2019-02-05T11:01:54Z,,false,,Heysel,"Keizerin Charlottelaan, aan de ingang van de Metro, 1020 Laeken",1970-01-01T00:00:00Z,5,0,,LA14,true,false,false
170,,Box,50.8646,4.33377,,,2019-02-05T11:01:52Z,2019-02-05T14:55:33Z,false,28879,Jean Dubrucq,"Avenue Jean Dubrucq 32, 1080 Molenbeek-Saint-Jean",1970-01-01T00:00:00Z,5,0,,MK12,true,true,false
188,,Box,50.878833,4.326191,,,2019-02-05T11:01:54Z,,false,,CARGO,"Rue Vandenschrieck 59, 1090 Jette",2018-12-20T00:00:00Z,0,0,,JTC0,true,false,false
331,,Box,50.82994,4.38628,,,2019-05-10T10:53:42Z,,false,,Saint-Antoine,"Place Saint-Antoine, 1040 Etterbeek",2019-05-07T00:00:00Z,5,0,,ET11,true,false,false
195,,Box,50.86601,4.33192,,,2019-02-05T11:01:55Z,,false,,Ongena,"Rue Ongena x Rue Honoré Longtin, 1090 Jette",2017-12-21T00:00:00Z,5,0,,JT32,true,false,false
196,,Box,50.86763,4.32573,,,2019-02-05T11:01:56Z,,false,,Broustin,"Avenue Broustin x Rue Vanderborght, 1090 Jette",2017-12-21T00:00:00Z,5,0,,JT31,true,false,false
198,,Box,50.8731,4.3344,,,2019-02-05T11:01:56Z,,false,,Vandervleet 1,"Avenue Notre Dame de Lourdes x Rue Jacques Vandervleet, 1090 Jette",2017-12-15T00:00:00Z,5,0,,JT29,true,false,false
200,,Box,50.88503,4.31757,,,2019-02-05T11:01:56Z,,false,,Exposition,"Place de l'Ancienne Barrière x Avenue de l'Exposition, 1090 Jette",2017-12-14T00:00:00Z,5,0,,JT27,true,false,false
201,,Box,50.87639,4.32217,,,2019-02-05T11:01:56Z,,false,,Legrelle,"Rue stanislas Legrelle x Rue Hubert Van Eepoel, 1090 Jette",2017-12-18T00:00:00Z,5,0,,JT26,true,false,false
202,,Box,50.87251,4.33279,,,2019-02-05T11:01:56Z,,false,,Mirepoix,"Avenue de Levis Mirepoix x Rue Corneille De Clercq, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT25,true,false,false
